STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130221 10:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130221 11:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130221 14:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130222 05:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130226 01:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130301 00:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130301 01:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130401 00:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130401 01:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130501 00:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130501 01:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130507 00:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130509 11:00,30
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130509 12:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130509 13:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130509 19:00,20
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130509 20:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130515 01:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130517 00:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130520 03:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130520 05:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130520 06:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130520 10:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130520 21:00,50
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130525 19:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130526 23:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130527 00:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130527 02:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130527 06:00,10
